          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1917  -0.1250  -0.1822  -0.2202  -0.1372  -0.1208   0.0088  -0.0674  -0.0326  -0.1302  -0.2057  -0.1412  -0.1014
1918   0.0699  -0.0052   0.0667  -0.0072  -0.1028  -0.2561  -0.2214  -0.2286  -0.2102  -0.1197  -0.1182  -0.0634
1919  -0.0520   0.1137  -0.0052   0.1187  -0.0258  -0.0561  -0.1354  -0.0266  -0.0352  -0.0017  -0.0432  -0.1274
1920  -0.2840  -0.2272  -0.2612  -0.1572  -0.1108  -0.1121  -0.1244  -0.1356  -0.1162  -0.1227  -0.2402  -0.1364
1921  -0.1100  -0.0952  -0.1242  -0.0842  -0.1058  -0.0761   0.0455  -0.0756  -0.0622   0.0922  -0.0722   0.0485
1922  -0.0220  -0.0602  -0.1442  -0.2272  -0.1708  -0.1561  -0.2194  -0.1356  -0.2022  -0.1367  -0.1582  -0.1524
1923  -0.1780  -0.2762  -0.2052  -0.2432  -0.1308  -0.1361  -0.1624  -0.2496  -0.2002  -0.1117  -0.0202   0.1135
1924   0.0569  -0.0122   0.0977   0.1317   0.1981   0.0828   0.0355   0.0413  -0.0332  -0.0807  -0.1182  -0.1094
1925  -0.1350  -0.1212  -0.0342   0.0117   0.0771  -0.0071   0.0195   0.0493   0.0537   0.0712   0.0277   0.2265
1926   0.2269   0.2987   0.2537   0.3017   0.2831   0.2528   0.3075   0.2353   0.2177   0.3372   0.2287   0.2715
1927   0.2759   0.2707   0.2487   0.2637   0.3511   0.3408   0.3245   0.3433   0.2827   0.3352   0.3417   0.1605
1928   0.1519   0.1027   0.1177   0.0997   0.1791   0.2568   0.2575   0.2903   0.2687   0.2072   0.1567   0.0975
1929   0.1129   0.0997   0.1247   0.1857   0.0551   0.0008  -0.0044   0.0373   0.1197   0.1142   0.0967   0.0045
1930   0.0809   0.0277   0.1227  -0.0062   0.0571   0.1158   0.2375   0.2633   0.4747   0.3732   0.3667   0.3365
1931   0.3209   0.2717   0.3677   0.3577   0.3961   0.4668   0.3745   0.3483   0.4537   0.4932   0.2747   0.3675
1932   0.3859   0.4387   0.4707   0.4217   0.3281   0.4458   0.4545   0.5873   0.5287   0.4152   0.3567   0.2945
1933   0.3009   0.3677   0.3167   0.4237   0.4681   0.4478   0.4655   0.4843   0.4387   0.5102   0.3017   0.2035
1934   0.1039   0.0247   0.0177   0.1217   0.0671   0.2408   0.3595   0.2853   0.3407   0.3532   0.2417   0.1995
1935   0.2599   0.0817   0.0817   0.2727   0.3231   0.3188   0.2545   0.2133   0.1637   0.1672   0.2477   0.3075
1936   0.3579   0.3647   0.4277   0.4167   0.3521   0.4048   0.3885   0.4243   0.3767   0.2912   0.2497   0.2575
1937   0.2779   0.3077   0.3347   0.2927   0.3181   0.6648   0.8075   0.8043   0.7127   0.4872   0.4887   0.5655
1938   0.4369   0.3757   0.4387   0.4627   0.3931   0.3858   0.4035   0.5143   0.5177   0.5472   0.5537   0.4335
1939   0.3629   0.3057   0.2097   0.3237   0.2981   0.3978   0.5275   0.5413   0.5107   0.2062   0.0857   0.1385
1940   0.2929   0.0367   0.1007   0.1987   0.1971   0.2368   0.3015   0.3273   0.2387   0.1492   0.1087   0.0825
1941   0.1719   0.3277   0.3787   0.2987   0.2361   0.2068   0.2965   0.5033   0.5217   0.6172   0.6367   0.5505
1942   0.3719   0.4347   0.4427   0.4417   0.4101   0.4888   0.3115   0.3733   0.4437   0.4072   0.4437   0.3185
1943   0.3699   0.3357   0.1507   0.1047   0.0811   0.1568   0.2305   0.2473   0.2997   0.2872   0.3937   0.4575
1944   0.5439   0.5597   0.6797   0.5587   0.5001   0.5828   0.5785   0.6783   0.6447   0.5772   0.5257   0.5065
1945   0.5059   0.5947   0.6247   0.6587   0.5211   0.4128   0.3045   0.3443   0.3147   0.3172   0.4417   0.3745
1946   0.5269   0.4397   0.3947   0.3117   0.3041   0.1418   0.0195   0.0763   0.2157   0.2022   0.1947   0.2045
1947   0.0789   0.1247   0.1757   0.1567   0.0631   0.0928   0.0705   0.1443   0.1857   0.1312   0.3097   0.2765
1948   0.2409   0.2277   0.2977   0.1867   0.2161   0.3028   0.1905   0.2243   0.1867   0.2312   0.4007   0.3075
1949   0.4119   0.4177   0.3107   0.3577   0.2001   0.2518   0.3045   0.3513   0.3117   0.3302   0.3767   0.3665
1950   0.3729   0.2277   0.1697   0.1317   0.1681   0.2118   0.1805   0.2723   0.2547   0.1392   0.3517   0.3395
1951   0.3679   0.2617   0.2907   0.4337   0.4021   0.5458   0.6605   0.5583   0.4977   0.4912   0.4487   0.4285
1952   0.4389   0.4487   0.5117   0.4587   0.4121   0.6418   0.6135   0.6613   0.6127   0.5892   0.5277   0.5975
1953   0.5359   0.4537   0.4247   0.5837   0.5771   0.5378   0.5875   0.5193   0.5327   0.3852   0.5237   0.5175
1954   0.4999   0.3677   0.3867   0.2597   0.3071   0.3638   0.2015   0.2493   0.2447   0.2082   0.2557   0.2105
1955   0.3519   0.3147   0.3307   0.3717   0.4161   0.4608   0.5175   0.4403   0.4617   0.5222   0.6717   0.5215
1956   0.4649   0.3717   0.3057   0.3417   0.1851   0.0058   0.1615   0.1703   0.1727   0.2032   0.2017   0.2865
1957   0.1999   0.1737   0.2747   0.2077   0.1241   0.2608   0.2945   0.4733   0.4847   0.3982   0.3747   0.3495
