          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1946   0.3253   0.2350   0.1648   0.0888   0.0977  -0.1078  -0.2219  -0.1828  -0.0379  -0.0112  -0.0216  -0.0045
1947  -0.1226  -0.0799  -0.0541  -0.0661  -0.1432  -0.1568  -0.1709  -0.1148  -0.0679  -0.0822   0.0933   0.0674
1948   0.0393   0.0230   0.0678  -0.0361   0.0097   0.0531  -0.0509  -0.0348  -0.0669   0.0177   0.1843   0.0984
1949   0.2103   0.2130   0.0808   0.1348  -0.0062   0.0021   0.0630   0.0921   0.0580   0.1167   0.1603   0.1574
1950   0.1713   0.0230  -0.0601  -0.0911  -0.0382  -0.0378  -0.0609   0.0131   0.0010  -0.0742   0.1353   0.1304
1951   0.1663   0.0570   0.0608   0.2108   0.1957   0.2961   0.4190   0.2991   0.2440   0.2777   0.2323   0.2194
1952   0.2373   0.2440   0.2818   0.2358   0.2057   0.3921   0.3720   0.4021   0.3590   0.3757   0.3113   0.3884
1953   0.3343   0.2490   0.1948   0.3608   0.3707   0.2881   0.3460   0.2601   0.2790   0.1717   0.3073   0.3084
1954   0.2983   0.1630   0.1568   0.0368   0.1007   0.1141  -0.0399  -0.0098  -0.0089  -0.0052   0.0393   0.0014
1955   0.1503   0.1100   0.1008   0.1488   0.2097   0.2111   0.2760   0.1811   0.2080   0.3087   0.4553   0.3124
1956   0.2633   0.1670   0.0758   0.1188  -0.0212  -0.2438  -0.0799  -0.0888  -0.0809  -0.0102  -0.0146   0.0774
1957  -0.0016  -0.0309   0.0448  -0.0151  -0.0822   0.0111   0.0530   0.2141   0.2310   0.1847   0.1583   0.1404
1958   0.1303   0.2670   0.4108   0.4068   0.2427   0.2471   0.1800   0.1761   0.2250   0.1897   0.2623   0.2834
1959   0.1843   0.1950   0.0428   0.0598   0.0517  -0.0308  -0.0129   0.0291   0.1410   0.1527   0.1303   0.1764
1960   0.2633   0.3000   0.1608   0.1628   0.3497   0.3501   0.2920   0.3551   0.2290   0.3387   0.3323   0.2064
1961   0.1503   0.1670   0.2238   0.2958   0.2427   0.0661   0.0050   0.0581   0.0240   0.0747   0.1513   0.2844
1962   0.2413   0.2400   0.2428   0.1588   0.0747  -0.0348   0.0180  -0.0378   0.0280   0.1137   0.1333   0.2644
1963   0.2523   0.2570   0.2138   0.1778  -0.0302  -0.0078  -0.0069  -0.0458  -0.1759  -0.0212   0.0323   0.0164
1964   0.0223   0.1150   0.1218  -0.0691   0.0977   0.0451  -0.1119  -0.2038  -0.1909  -0.2182  -0.0736  -0.0415
1965  -0.0976  -0.0809   0.0078  -0.0171  -0.0382  -0.0828  -0.1539  -0.1768  -0.1909  -0.1922  -0.1806  -0.0415
1966   0.0273   0.1090   0.0788   0.1258   0.0637   0.0021  -0.0189  -0.0078   0.0340   0.0717   0.1013   0.1654
1967   0.1873   0.1890   0.0568   0.0698  -0.1212  -0.2108  -0.1909  -0.1258  -0.0599  -0.0382  -0.1336  -0.0655
1968  -0.1386  -0.0939  -0.1151  -0.0681  -0.0552  -0.2098  -0.1869  -0.1728  -0.1109  -0.0492  -0.0046  -0.0365
1969   0.0483   0.2110   0.3028   0.2388   0.0807   0.0831   0.1380  -0.0568  -0.0649  -0.1192  -0.0186   0.0614
1970   0.1033   0.0610   0.1178   0.1128   0.0267  -0.1248  -0.1529  -0.0938  -0.0929  -0.1272  -0.1316  -0.1135
1971  -0.1286  -0.1799  -0.2081  -0.3171  -0.2502  -0.3018  -0.2989  -0.3858  -0.3189  -0.1632  -0.1316  -0.2095
1972  -0.1976  -0.2649  -0.3341  -0.2281  -0.3892  -0.4248  -0.3219  -0.3308  -0.2519  -0.2112  -0.1626  -0.2495
1973  -0.2506  -0.2749  -0.2361  -0.1631  -0.0862  -0.1088  -0.0469  -0.0778  -0.0769  -0.1372  -0.0916  -0.1335
1974  -0.1496  -0.1619  -0.2901  -0.4191  -0.4142  -0.3778  -0.4549  -0.4088  -0.4489  -0.4262  -0.3046  -0.2535
1975  -0.1436  -0.2139  -0.1961  -0.2381  -0.3002  -0.2228  -0.2089  -0.1238  -0.2759  -0.2692  -0.2176  -0.2115
1976  -0.2526  -0.3139  -0.3771  -0.3161  -0.3972  -0.4078  -0.2419  -0.1208  -0.1309  -0.2062  -0.2896  -0.3185
1977  -0.2546  -0.2029  -0.0631  -0.1041  -0.0752  -0.0288  -0.0369  -0.0778  -0.1659  -0.1342  -0.0136  -0.0885
1978   0.0313  -0.0139  -0.0351  -0.0781  -0.1062  -0.2508  -0.2049  -0.1558  -0.1209  -0.1142   0.0133  -0.0625
1979  -0.0516  -0.0149  -0.1021  -0.1171  -0.0172   0.0431  -0.0199  -0.0408  -0.0379   0.0087   0.0513   0.0634
1980   0.1423   0.0620  -0.0091   0.1228   0.2327   0.1971   0.1280   0.1001   0.0670   0.0387  -0.0576  -0.1225
1981  -0.0296  -0.0329   0.1378   0.0358   0.0277   0.0341  -0.0089  -0.0298   0.0470  -0.0792   0.0103   0.1274
1982   0.0743   0.0720   0.0598  -0.0491  -0.0772  -0.0858  -0.1399  -0.2208  -0.2219  -0.2612  -0.2676  -0.2435
1983  -0.1406   0.0500   0.2238   0.1958   0.0687   0.0471   0.0760  -0.0678  -0.1269  -0.0822  -0.0056   0.1364
1984   0.0543   0.0680   0.0208  -0.0181  -0.0452  -0.2198  -0.1709  -0.1318  -0.1169  -0.2282  -0.2686  -0.1755
1985  -0.1916  -0.1699  -0.2081  -0.2591  -0.2142  -0.0208  -0.0559  -0.1858  -0.1529  -0.1262  -0.1376  -0.1915
1986  -0.1776  -0.1139  -0.1421  -0.1801  -0.1032  -0.1518  -0.1489  -0.1738  -0.1229  -0.1972  -0.2366  -0.2235
1987  -0.1096  -0.0529   0.1208   0.1768   0.1957   0.3151   0.3820   0.3811   0.2930   0.1707   0.0933   0.1934
1988   0.1293   0.0500   0.1448   0.1998   0.2667   0.2781   0.2120   0.0931   0.0040  -0.0472   0.0153  -0.0145
1989  -0.0506   0.0100  -0.0971  -0.1401  -0.0162   0.2051   0.2810   0.2161   0.0070   0.0027   0.0153  -0.0005
1990  -0.1256   0.0070  -0.0201   0.0348   0.0737   0.0611   0.0850   0.1581   0.2510   0.2417   0.1143   0.1184
1991  -0.0196   0.0540   0.0918   0.0218  -0.0182  -0.0098   0.0020  -0.0008   0.0690  -0.1322  -0.0916  -0.0575
1992  -0.0126   0.0790   0.0698  -0.0281  -0.0852  -0.0298  -0.1079  -0.2708  -0.2619  -0.1672  -0.1626  -0.1255
1993  -0.0606  -0.0109  -0.0791  -0.0151  -0.0242  -0.0578  -0.1639  -0.1168  -0.0539  -0.1082  -0.1446  -0.1325
1994  -0.1146  -0.1309  -0.1121  -0.0391  -0.0652  -0.0958  -0.1159  -0.1208  -0.0399   0.0777   0.1573   0.0724
1995   0.1213   0.1400   0.1858   0.2388   0.4147   0.4921   0.4320   0.3001   0.1690   0.2407   0.3053   0.2074
1996   0.1763   0.1500   0.1138   0.1748   0.0807   0.0071   0.0160   0.1111   0.1160  -0.0022   0.0073   0.0134
1997   0.0983   0.1490   0.1798   0.1758   0.1887   0.1411   0.1830   0.1371   0.2290   0.2947   0.2353   0.3024
1998   0.3223   0.4790   0.4988   0.4618   0.5357   0.6251   0.6130   0.6371   0.5350   0.5297   0.5043   0.4534
1999   0.2453   0.2480   0.2488   0.2258   0.3167   0.3191   0.3270   0.4341   0.3100   0.1677   0.1413   0.1914
2000   0.1143   0.1550   0.2858   0.2188   0.2627   0.1231   0.2040   0.2331   0.2300   0.1127   0.1393   0.0524
2001   0.0733   0.1690   0.1998   0.1668   0.1507   0.3421   0.2690   0.3111   0.4170   0.4067   0.3513   0.3954
2002   0.3843   0.3640   0.3328   0.2088   0.1147   0.0301   0.0710   0.2421   0.2140   0.2697   0.2173   0.1894
2003   0.2563   0.1890   0.3038   0.2638   0.3167   0.3551   0.4160   0.5541   0.5890   0.5877   0.4243   0.4124
2004   0.4193   0.4140   0.3518   0.2958   0.1737   0.3301   0.3700   0.4581   0.3800   0.4067   0.4243   0.3774
2005   0.3223   0.3330   0.4808   0.4828   0.4647   0.4821   0.5920   0.5841   0.5610   0.4047   0.3463   0.4094
2006   0.3383   0.2850   0.2598   0.3908   0.4827   0.4911   0.5230   0.5481   0.5090   0.5037   0.4983   0.3674
2007   0.3883   0.4300   0.3298   0.3548   0.2887   0.2491   0.2800   0.2051   0.2460   0.3307   0.3883   0.3104
2008   0.2503   0.3440   0.3638   0.2418   0.3517   0.4201   0.3600   0.3281   0.3500   0.2777   0.2163   0.2204
2009   0.1643   0.0550   0.0478   0.0708   0.1217   0.2881   0.3850   0.3081   0.2110   0.3427   0.2873   0.2874
2010   0.2653   0.3990   0.4978   0.6298   0.6447   0.6171   0.6100   0.6841   0.6060   0.5047   0.4563   0.4154
2011   0.3723   0.3320   0.2688   0.2988   0.3397   0.3501   0.2540   0.3081   0.3040   0.2467   0.1523   0.1654
2012   0.1663   0.2310   0.2418   0.2898   0.3547   0.4751   0.5400   0.5951   0.6100   0.5157   0.3913   0.3544
2013   0.3623   0.3450   0.3768   0.3488   0.2947   0.2241   0.3580   0.3611   0.4200   0.5367   0.3573   0.2524
2014   0.1743   0.1900   0.1408   0.1218   0.1947   0.2431   0.3920   0.5041   0.4780   0.4837   0.2963   0.2774
2015   0.2313   0.2310   0.0958   0.1468   0.2437   0.2121   0.3050   0.3501   0.4700   0.5197   0.4203   0.4504
2016   0.4733   0.3930   0.4158   0.3978   0.5457   0.5951   0.6080   0.6311   0.6310   0.5777   0.6273   0.5584
2017   0.4703   0.4670   0.3978   0.5068   0.5187   0.4971   0.4810   0.4871   0.5260   0.6337   0.5913   0.5904
2018   0.4203   0.3060   0.3648   0.2898   0.2067   0.1801   0.1990   0.2931   0.3410   0.3467   0.1223   0.1694
2019   0.2353   0.3270   0.3568   0.3528   0.2977   0.3681   0.5370   0.5211   0.4270   0.3647   0.3553   0.3974
2020   0.3493   0.6050   0.6068   0.6018   0.4797   0.4691   0.5510   0.6341   0.5040   0.5207   0.3843   0.4204
2021   0.4053   0.4140   0.3768   0.3128   0.3107   0.3621   0.4230   0.4571   0.6120   0.7097   0.7193   0.5134
2022   0.4583   0.4110   0.2758   0.3718   0.4387   0.4251   0.3520   0.5731   0.8750   0.7207   0.5593   0.4824
2023   0.4773
----------------------------------------------------------------------------------------------------------------
